sample,factual_class,counterfactual_class,x,y,z,E4_BVP,E4_EDA,E4_HR,E4_IBI,E4_TEMP,Attention,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,Meditation
5,4,1,0,0,0,0,0,0,0,0.24823765900217684,0,0,0,0,0,0,0.30614912598442007,0,0,0
51218,4,2,0,0,0,0,0.48618643861558497,0,0,0,0,0,0,0,0.014121563255309479,0,0,0,0,0
3,4,1,0,0,0,0,0,0,0,0.2764270374272861,0,0,0,0,0,0,0.2987810993659496,0,0,0
55810,4,3,9.236110101320641e-06,0.023573335258898986,0.06890440319675423,0,0.00994312616100255,0.12451725728761538,0,0,1.7002152676620408e-05,0.0021688463537955596,0.09363324476157586,0.12201545924247388,-6.250106785809404e-07,0,0.05505034638669221,0.0250428055336362,0,1.15052981409079e-05
44625,4,5,0.0024240540799726736,2.4437685645992798e-05,0,0,0,0.1442725765076823,0.09934580946235087,0.027162545039871228,0,0,0,2.654339901713503e-05,0.05369706490564215,0.14246483224191706,0.0057475809910735075,0,1.593592983347778e-05,0
47971,4,2,0,0,0,1.1520438103718395e-06,0.2343811678549354,0.23453064164989024,3.211028999690781e-05,0.22402103624670217,0,0,0,0,0,1.0070565865293503e-05,0,-2.1337613896452737e-06,3.854468164175902e-05,0
55795,4,3,0.008231736855472436,0,0.17189591720237463,0,3.156530655779022e-05,0.18259442246188884,0,0,0.08023541026549602,0.012695227923188904,0,0.01867228482180606,0,0,0.006521373692746665,0,0,0.019744322952126782
48760,4,2,0,0,0,0,0.17754144424757304,0.17754029993496173,0,0.16233126831792435,0,0,0,0,0,0,0,1.432361215257236e-06,0,0
46686,4,2,0,0,0,0,0,0,0.48874232531892126,0,0,0,0,0.011816994539128073,0,0,0,0,0,0
45008,4,5,0,2.322957235230665e-05,0,-8.91633640738975e-06,0,0.12918778849547427,0.09437143276093304,2.7592555807102826e-05,0,0.01645149530378915,1.4048613446896487e-05,0.0017440502702318313,0.12435462994509773,0.12927277219757005,0,0,0.0012307990099392795,2.3814623217262172e-06
21004,4,5,0,0,0,0,0.4732243910643963,0,0,0,0,0,0.00036217074232397766,0.010738997290598032,0,0,0,0,0,0
50940,4,2,0,0,0,0,0.49933383489590505,0,0,0,0,0,0,0.0002715681485772926,0,0,0,0,0,0
54748,4,5,0,0,0,0,0,0,0,0.5062972125814547,0,0,0,0,0,0,0,0,0,0
46839,4,2,1.0178408682239519e-05,0,9.56338372374148e-06,0,1.4713681766711999e-05,0.09638311761371939,0.09700993700031482,-4.660471587743204e-06,0.004045800275340687,0.06565561495217496,0,0.09863311082886421,0.06995911067061068,0,0,0,0.0697686650904383,0
20163,4,5,0,0,0,0,0,0.3881741155577313,0,0,0,0,0,0,0.0007274287127241434,0,0.015642871666466232,0,0,0
54848,4,5,0,0,0,0,0,0,0,0.49100157301982505,0,0,0,0,0,0,0,0,0,0
48084,4,2,0,0,0,0,0,0,0.556135017668878,0,0,0,0,0,0,0,0,0,0,0
47794,4,2,0,0,0,0,0,0,0.48564363584729686,0,0,0.0004253228291989482,0,0.01380452778582459,0,0,0,0,0,0
45206,4,2,1.2511214945667384e-05,2.4388994983012737e-05,0,0,0.1647176764821825,0.16750760827048794,0.13851065139912913,0,0,0,0.042429008520746964,0,7.26961863984899e-05,0,2.549664908796325e-05,0.005760714627985117,5.600229632132197e-05,0
55040,4,5,0,0,0,0,0,0,0,0.47756324070308664,0,0,0,0,0,0.02269764154373461,0,0,0,0
49334,4,3,0,0,0,0,0,0.2468003884582304,0,0,0,0.0023164960689046983,0.0002567502170960801,8.796638810580096e-05,0.2468004693003743,0.01624499346539264,0.00011467110154873017,0,0,0
1282,4,3,0,0,0.017196132654400377,0,0.22525698996134405,0,0.2266623847598163,0,0,0.024076738041700168,0,0.002455696835643559,0,8.49708279875559e-06,0.007292782342055023,0,0,0
56833,3,4,0,0,0,0,0.2663137643753939,0.261273987721203,0,0.004000605068675996,0,0.0012959788365450328,0.00718044756545373,2.667336231238571e-05,3.484317561069146e-05,5.539024441015099e-05,0,0,1.8373868224289174e-05,0
6959,3,2,0,0,0,0,0,0,0,0,0.15831205159346132,0,0,0.32852258233820364,0,0.012935881226188968,0,0,0,0
15121,3,2,0,0,3.604985624063203e-05,8.824013036326122e-06,0.21902459212237807,0.3058076940472265,0.04153182934982684,0,4.274487692603629e-05,3.203522155065539e-05,3.661086323211077e-05,0,-4.1000558883247475e-05,0.0038238397573383816,0.0035470371021821246,-9.628610182500447e-06,2.496399401965913e-05,-1.0482930800617584e-05
22097,3,2,1.7954103626513096e-05,0,-1.4854704219579752e-05,0,0.1250746147727354,0.048300651228033856,2.0354071429524563e-05,0,0.10721724152586057,3.878556253460824e-05,0.1306984148147382,3.209211171338723e-05,0.08481184461875649,-2.1626984678826355e-06,0,3.073485042867891e-05,4.333381598791826e-05,0
5944,3,4,0,0,0,0,0,0.07385351692682884,0,0,0,0,0,0,0,0,0.4047482862460856,0,0,0
10372,3,4,0,0,0,0,0,0.05166988833233148,0,0,0,0,0,0.41466005155667296,0,0,0.00047007061399817094,0,0,0
15457,3,2,0,0,0,0,0.41828953190646534,0,0,0,0,0,0,0,0,0,0,0,0,0
6426,3,2,0,0,0,0,0,0.4429657386293826,0,0,0,0,0,0.0010081360336039076,0,0,0.029212040782715956,0,0,0
42436,3,4,0,0,0,2.303066541435122e-06,0.01738334919051193,0,0.09448384879915193,-1.2142525111276345e-06,0.011823080722395537,0.0686045558694929,0.17495191274839614,0.041738860156366325,0.00877820773862508,0.0018011943877453045,0.06599210165229152,0,4.3830084569419215e-05,0.026623439713239248
