sample,jaccard_index,original_class,MLPC_class,MLPC_features,SVC_class,SVC_features
4,0.375,4,4,"{'z', 'E4_TEMP', 'E4_IBI', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'highAlpha', 'E4_HR'}"
6,0.875,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'highAlpha', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'E4_HR', 'E4_BVP'}"
34,0.6,4,4,"{'z', 'lowGamma', 'E4_TEMP', 'y', 'E4_HR'}",4,"{'y', 'E4_HR', 'E4_TEMP'}"
35,0.75,4,4,"{'y', 'E4_HR', 'E4_TEMP'}",4,"{'highAlpha', 'y', 'E4_HR', 'E4_TEMP'}"
39,0.4444444444444444,4,4,"{'z', 'E4_TEMP', 'y', 'x', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'E4_HR', 'E4_BVP'}"
54,0.8571428571428571,4,4,"{'E4_EDA', 'lowGamma', 'E4_TEMP', 'y', 'highAlpha', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'y', 'highAlpha', 'E4_HR'}"
62,0.5454545454545454,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'highAlpha', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'x', 'E4_HR', 'E4_BVP'}"
70,0.5714285714285714,4,4,"{'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'E4_HR'}",4,"{'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'E4_HR', 'E4_BVP'}"
80,0.6,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'x', 'middleGamma', 'E4_HR'}"
86,1.0,4,4,"{'theta', 'E4_EDA', 'E4_IBI'}",4,"{'theta', 'E4_EDA', 'E4_IBI'}"
95,0.36363636363636365,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'highAlpha', 'E4_HR', 'E4_BVP'}",4,"{'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'x', 'E4_HR'}"
98,0.7272727272727273,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
109,0.2727272727272727,4,4,"{'theta', 'y', 'E4_IBI'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'x', 'highAlpha', 'E4_HR', 'E4_BVP'}"
110,1.0,4,4,"{'theta', 'y', 'E4_IBI'}",4,"{'theta', 'y', 'E4_IBI'}"
114,0.5,4,4,"{'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'x', 'middleGamma', 'E4_HR'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
124,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}"
144,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}"
147,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}"
173,1.0,4,4,"{'theta', 'E4_IBI'}",4,"{'theta', 'E4_IBI'}"
182,1.0,4,4,"{'theta', 'E4_IBI'}",4,"{'theta', 'E4_IBI'}"
199,1.0,4,4,"{'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
210,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
212,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
216,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
221,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
224,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
225,1.0,4,4,"{'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
231,1.0,4,4,"{'theta', 'E4_HR'}",4,"{'theta', 'E4_HR'}"
237,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
251,1.0,4,4,"{'theta', 'E4_HR', 'E4_IBI'}",4,"{'theta', 'E4_HR', 'E4_IBI'}"
253,1.0,4,4,"{'theta', 'E4_HR'}",4,"{'theta', 'E4_HR'}"
261,1.0,4,4,"{'E4_EDA', 'E4_IBI', 'theta', 'highAlpha', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'E4_IBI', 'theta', 'highAlpha', 'E4_HR', 'E4_BVP'}"
268,1.0,4,4,"{'theta', 'E4_HR'}",4,"{'theta', 'E4_HR'}"
273,1.0,4,4,"{'theta', 'E4_HR', 'E4_IBI'}",4,"{'theta', 'E4_HR', 'E4_IBI'}"
277,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'E4_HR', 'E4_BVP'}"
280,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'E4_HR', 'E4_BVP'}"
285,1.0,4,4,"{'theta', 'E4_HR', 'E4_IBI'}",4,"{'theta', 'E4_HR', 'E4_IBI'}"
292,1.0,4,4,"{'theta', 'E4_IBI'}",4,"{'theta', 'E4_IBI'}"
295,1.0,4,4,"{'theta', 'E4_IBI'}",4,"{'theta', 'E4_IBI'}"
335,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'highAlpha', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'highAlpha', 'E4_HR', 'E4_BVP'}"
369,1.0,4,4,"{'theta', 'E4_HR', 'E4_BVP', 'E4_IBI'}",4,"{'theta', 'E4_HR', 'E4_BVP', 'E4_IBI'}"
373,1.0,4,4,"{'middleGamma', 'E4_IBI'}",4,"{'middleGamma', 'E4_IBI'}"
381,1.0,4,4,"{'middleGamma', 'E4_HR', 'E4_IBI'}",4,"{'middleGamma', 'E4_HR', 'E4_IBI'}"
396,1.0,4,4,"{'middleGamma', 'E4_IBI'}",4,"{'middleGamma', 'E4_IBI'}"
410,1.0,4,4,"{'middleGamma', 'E4_IBI'}",4,"{'middleGamma', 'E4_IBI'}"
416,1.0,4,4,"{'middleGamma', 'E4_IBI'}",4,"{'middleGamma', 'E4_IBI'}"
428,0.6363636363636364,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}"
429,0.7272727272727273,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'y', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'y', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}"
